Info,Info,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,C1,C1,C1,C2,C2,C2,C3,C3,C3,C4,C4,C4,C5,C5,C5,C6,C6,C6,C7,C7,C7,C8,C8,C8
Number,Time,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ,PX,PY,PZ
9,0.075,-816.4965809277261,0.0,1162.6290691896265,-5.551115123125783e-14,0.0,585.2788000000008,408.248290463863,707.1067811865476,1162.6290691896268,-408.248290463863,707.1067811865476,1739.9793383792523,-408.248290463863,-707.1067811865476,1739.979338379252,408.248290463863,-707.1067811865476,1162.6290691896265,816.4965809277261,0.0,1739.9793383792523,5.551115123125783e-14,0.0,2317.3296075688777
10,0.08333333333333333,-816.4965809277261,0.0,1156.7430691896263,-5.551115123125783e-14,0.0,579.3928000000006,408.248290463863,707.1067811865476,1156.7430691896266,-408.248290463863,707.1067811865476,1734.0933383792521,-408.248290463863,-707.1067811865476,1734.093338379252,408.248290463863,-707.1067811865476,1156.7430691896263,816.4965809277261,0.0,1734.0933383792521,5.551115123125783e-14,0.0,2311.4436075688777
11,0.09166666666666666,-816.4965809277261,0.0,1150.229229189626,-5.551115123125783e-14,0.0,572.8789600000003,408.248290463863,707.1067811865476,1150.2292291896263,-408.248290463863,707.1067811865476,1727.5794983792518,-408.248290463863,-707.1067811865476,1727.5794983792516,408.248290463863,-707.1067811865476,1150.229229189626,816.4965809277261,0.0,1727.5794983792518,5.551115123125783e-14,0.0,2304.929767568877
12,0.09999999999999999,-816.4965809277261,0.0,1143.0875491896259,-5.551115123125783e-14,0.0,565.7372800000003,408.248290463863,707.1067811865476,1143.087549189626,-408.248290463863,707.1067811865476,1720.4378183792517,-408.248290463863,-707.1067811865476,1720.4378183792514,408.248290463863,-707.1067811865476,1143.0875491896259,816.4965809277261,0.0,1720.4378183792517,5.551115123125783e-14,0.0,2297.788087568877
13,0.10833333333333332,-816.4965809277261,0.0,1135.3180291896258,-5.551115123125783e-14,0.0,557.9677600000001,408.248290463863,707.1067811865476,1135.318029189626,-408.248290463863,707.1067811865476,1712.6682983792516,-408.248290463863,-707.1067811865476,1712.6682983792514,408.248290463863,-707.1067811865476,1135.3180291896258,816.4965809277261,0.0,1712.6682983792516,5.551115123125783e-14,0.0,2290.018567568877
14,0.11666666666666665,-816.4965809277261,0.0,1126.9206691896259,-5.551115123125783e-14,0.0,549.5704000000002,408.248290463863,707.1067811865476,1126.920669189626,-408.248290463863,707.1067811865476,1704.2709383792517,-408.248290463863,-707.1067811865476,1704.2709383792514,408.248290463863,-707.1067811865476,1126.9206691896259,816.4965809277261,0.0,1704.2709383792517,5.551115123125783e-14,0.0,2281.6212075688773
15,0.12499999999999999,-816.4965809277261,0.0,1117.8954691896258,-5.551115123125783e-14,0.0,540.5452000000001,408.248290463863,707.1067811865476,1117.895469189626,-408.248290463863,707.1067811865476,1695.2457383792516,-408.248290463863,-707.1067811865476,1695.2457383792514,408.248290463863,-707.1067811865476,1117.8954691896258,816.4965809277261,0.0,1695.2457383792516,5.551115123125783e-14,0.0,2272.596007568877
16,0.13333333333333333,-816.4965809277261,0.0,1108.242429189626,-5.551115123125783e-14,0.0,530.8921600000003,408.248290463863,707.1067811865476,1108.2424291896261,-408.248290463863,707.1067811865476,1685.5926983792517,-408.248290463863,-707.1067811865476,1685.5926983792515,408.248290463863,-707.1067811865476,1108.242429189626,816.4965809277261,0.0,1685.5926983792517,5.551115123125783e-14,0.0,2262.942967568877
17,0.14166666666666666,-816.4965809277261,0.0,1097.961549189626,-5.551115123125783e-14,0.0,520.6112800000004,408.248290463863,707.1067811865476,1097.9615491896263,-408.248290463863,707.1067811865476,1675.311818379252,-408.248290463863,-707.1067811865476,1675.3118183792517,408.248290463863,-707.1067811865476,1097.961549189626,816.4965809277261,0.0,1675.311818379252,5.551115123125783e-14,0.0,2252.6620875688773
18,0.15,-816.4965809277261,0.0,1087.0528291896264,-5.551115123125783e-14,0.0,509.7025600000007,408.248290463863,707.1067811865476,1087.0528291896267,-408.248290463863,707.1067811865476,1664.4030983792522,-408.248290463863,-707.1067811865476,1664.403098379252,408.248290463863,-707.1067811865476,1087.0528291896264,816.4965809277261,0.0,1664.4030983792522,5.551115123125783e-14,0.0,2241.753367568878
